Designator,Comment,Value,Fitted,Rated voltage,Rated current,Description,Quantity,Manufacturer,Size,TC,Temperature range,Tolerance,Type,Number of capacitors,Number of resistors,Color,Center-X(mm),Center-Y(mm),Layer,Rotation,ApprovedBy,DrawnBy,CheckedBy,NormInspection,Index,Organization,ProjectName,Title,Title1str,Title2str,Variant

"A1","STLINK-V3MODS","","Fitted","","","Mini debuggers/programmers for STM32","1","","","","","","Программатор","","","","39.23","37.35","Top","180","Шаршавин","Куанышбаев","Новиков","Шаршавин","1","ТОО «IoT Systems»","TD.0002-100.PrjPcb","МПП-1","","","-00"
"C1","GRM188R61C106KAALD","10 мкФ","Fitted","","","Chip Monolithic Ceramic Capacitor","1","Murata","","X5R","","0,1","Конденсатор керамический","","","","51.495","18.3","Top","0","Шаршавин","Куанышбаев","Новиков","Шаршавин","2","ТОО «IoT Systems»","TD.0002-100.PrjPcb","МПП-1","","","-00"
"C2","GRM155R61C105KA12D","1 мкФ","Fitted","","","Chip Multilayer Ceramic Capacitors","1","Murata","","X5R","","0,1","Конденсатор керамический","","","","51.25","19.425","Top","0","Шаршавин","Куанышбаев","Новиков","Шаршавин","3","ТОО «IoT Systems»","TD.0002-100.PrjPcb","МПП-1","","","-00"
"C3","GRM155R71C104KA88D","0.1 мкФ","Fitted","","","Chip Multilayer Ceramic Capacitors","1","Murata","","X7R","","0,1","Конденсатор керамический","","","","51.25","20.45","Top","0","Шаршавин","Куанышбаев","Новиков","Шаршавин","4","ТОО «IoT Systems»","TD.0002-100.PrjPcb","МПП-1","","","-00"
"C4","GRM155R61C105KA12D","1 мкФ","Fitted","","","Chip Multilayer Ceramic Capacitors","1","Murata","","X5R","","0,1","Конденсатор керамический","","","","55.081","20.179","Top","180","Шаршавин","Куанышбаев","Новиков","Шаршавин","5","ТОО «IoT Systems»","TD.0002-100.PrjPcb","МПП-1","","","-00"
"C5","GRM188R61C106KAALD","10 мкФ","Fitted","","","Chip Monolithic Ceramic Capacitor","1","Murata","","X5R","","0,1","Конденсатор керамический","","","","55.305","18.925","Top","180","Шаршавин","Куанышбаев","Новиков","Шаршавин","6","ТОО «IoT Systems»","TD.0002-100.PrjPcb","МПП-1","","","-00"
"DA1","LD1117AG-33-TN3-A-R","","Fitted","","","Low drop fixed and adjustable positive voltage regulators","1","","","","","","Линейный регулятор напряжения с низким падением","","","","53.1","25.65","Top","0","Шаршавин","Куанышбаев","Новиков","Шаршавин","7","ТОО «IoT Systems»","TD.0002-100.PrjPcb","МПП-1","","","-00"
"XP1","PLS-5PIN","","Fitted","","","","1","","","","","","","","","","24.5","24.925","Top","270","Шаршавин","Куанышбаев","Новиков","Шаршавин","8","ТОО «IoT Systems»","TD.0002-100.PrjPcb","МПП-1","","","-00"
"XP2","PLS-3PIN","","Fitted","","","","1","","","","","","","","","","53.95","36.662","Top","90","Шаршавин","Куанышбаев","Новиков","Шаршавин","9","ТОО «IoT Systems»","TD.0002-100.PrjPcb","МПП-1","","","-00"
"XP3","PLS-4PIN","","Fitted","","","","1","","","","","","","","","","53.95","46.225","Top","90","Шаршавин","Куанышбаев","Новиков","Шаршавин","10","ТОО «IoT Systems»","TD.0002-100.PrjPcb","МПП-1","","","-00"
"XP4","PLS-6PIN","","Fitted","","","","1","","","","","","","","","","24.474","39.7","Top","270","Шаршавин","Куанышбаев","Новиков","Шаршавин","11","ТОО «IoT Systems»","TD.0002-100.PrjPcb","МПП-1","","","-00"
"XP5","PLS-4PIN","","Fitted","","","","1","","","","","","","","","","24.5","53","Top","270","Шаршавин","Куанышбаев","Новиков","Шаршавин","12","ТОО «IoT Systems»","TD.0002-100.PrjPcb","МПП-1","","","-00"
"XT1","pad","","Fitted","","","","1","","","","","","","","","","48.55","18.975","Top","0","Шаршавин","Куанышбаев","Новиков","Шаршавин","13","ТОО «IoT Systems»","TD.0002-100.PrjPcb","МПП-1","","","-00"
"XT2","pad","","Fitted","","","","1","","","","","","","","","","41.45","50.325","Top","0","Шаршавин","Куанышбаев","Новиков","Шаршавин","14","ТОО «IoT Systems»","TD.0002-100.PrjPcb","МПП-1","","","-00"
"XT3","pad","","Fitted","","","","1","","","","","","","","","","39.975","50.3","Top","0","Шаршавин","Куанышбаев","Новиков","Шаршавин","15","ТОО «IoT Systems»","TD.0002-100.PrjPcb","МПП-1","","","-00"
"XT4","pad","","Fitted","","","","1","","","","","","","","","","38.425","50.3","Top","180","Шаршавин","Куанышбаев","Новиков","Шаршавин","16","ТОО «IoT Systems»","TD.0002-100.PrjPcb","МПП-1","","","-00"
"XT5","pad","","Fitted","","","","1","","","","","","","","","","36.95","50.35","Top","180","Шаршавин","Куанышбаев","Новиков","Шаршавин","17","ТОО «IoT Systems»","TD.0002-100.PrjPcb","МПП-1","","","-00"
"XT6","pad","","Fitted","","","","1","","","","","","","","","","35.425","50.35","Top","180","Шаршавин","Куанышбаев","Новиков","Шаршавин","18","ТОО «IoT Systems»","TD.0002-100.PrjPcb","МПП-1","","","-00"
"XT7","pad","","Fitted","","","","1","","","","","","","","","","33.775","50.375","Top","180","Шаршавин","Куанышбаев","Новиков","Шаршавин","19","ТОО «IoT Systems»","TD.0002-100.PrjPcb","МПП-1","","","-00"
